id;name;language;street_address;postal_code;city
1;Multi-channelled Licensed;FRENCH;Canyon HDD;Table ;Hoppeburgh
2;Intelligent;ENGLISH;Games Regional Digitized;copy c;South Kenyattaville
3;Facilitator;ENGLISH;National Awesome sky blue;Tactic;Howellmouth
4;South Georgia and the South Sandwich Islands;SPANISH;bifurcated scalable;Small;Jonesmouth
5;orange Books;SPANISH;Unbranded Plastic Tuna Frozen;genera;West Marcella
6;payment;FRENCH;embrace Developer;synthe;North Joyce
7;partnerships Grocery Intelligent;ENGLISH;knowledge base Buckinghamshire;Concre;East Twilaton
8;neutral Salad;FRENCH;digital maroon;EXE pr;West Sven
9;contextually-based;SPANISH;ability Hat Iraq;magent;East Twila
10;conglomeration;SPANISH;Engineer;Exclus;East Zoetown
